#topheader#superheader#header#subheader#text
0#Comité para la Eliminación de la Discriminación Racial#"Observaciones finales sobre los informes periódicos 
21º a 23º combinados del Uruguay* "###
1#Comité para la Eliminación de la Discriminación Racial#"Observaciones finales sobre los informes periódicos 
21º a 23º combinados del Uruguay* "#A.	Introducción##El Comité examinó los informes periódicos 21º a 23° del Uruguay, presentados en un único documento (CERD/C/URY/21-23), en sus sesiones 2494ª y 2495ª (véase CERD/C/SR.2494 y 2495), celebradas los días 24 y 25 de noviembre de 2016. En su 2508ª sesión, celebrada el 5 de diciembre de 2016, aprobó las siguientes observaciones finales.
2#Comité para la Eliminación de la Discriminación Racial#"Observaciones finales sobre los informes periódicos 
21º a 23º combinados del Uruguay* "#A.	Introducción##El Comité agradece la presentación de los informes periódicos 21° a 23° del Estado parte en un solo documento, y la reciente presentación del documento básico común. El Comité manifiesta su satisfacción con el diálogo franco y constructivo que mantuvo con la delegación del Estado parte y agradece la información proporcionada durante y después del diálogo. 
3#Comité para la Eliminación de la Discriminación Racial#"Observaciones finales sobre los informes periódicos 
21º a 23º combinados del Uruguay* "#B.	Aspectos positivos ##El Comité acoge con satisfacción la presentación de un informe alternativo por parte de la Institución Nacional de Derechos Humanos y Defensoría del Pueblo, así como la activa participación y contribuciones de representantes de la sociedad civil, lo cual ha sido muy valioso para la consideración del informe del Estado parte.
4#Comité para la Eliminación de la Discriminación Racial#"Observaciones finales sobre los informes periódicos 
21º a 23º combinados del Uruguay* "#B.	Aspectos positivos ##El Comité acoge con satisfacción la ratificación de los siguientes instrumentos internacionales, o su adhesión a los mismos: 
5#Comité para la Eliminación de la Discriminación Racial#"Observaciones finales sobre los informes periódicos 
21º a 23º combinados del Uruguay* "#B.	Aspectos positivos ##a)	El Protocolo Facultativo de la Convención de los Derechos del Niño relativo a un procedimiento de comunicaciones, el 23 de febrero de 2015;
6#Comité para la Eliminación de la Discriminación Racial#"Observaciones finales sobre los informes periódicos 
21º a 23º combinados del Uruguay* "#B.	Aspectos positivos ##b)	El Protocolo Facultativo del Pacto Internacional de Derechos Económicos, Sociales y Culturales, el 5 de febrero de 2013;
7#Comité para la Eliminación de la Discriminación Racial#"Observaciones finales sobre los informes periódicos 
21º a 23º combinados del Uruguay* "#B.	Aspectos positivos ##c)	El Protocolo Facultativo de la Convención sobre los Derechos de las Personas con Discapacidad, el 28 de octubre de 2011;
8#Comité para la Eliminación de la Discriminación Racial#"Observaciones finales sobre los informes periódicos 
21º a 23º combinados del Uruguay* "#B.	Aspectos positivos ##d)	La Convención Internacional sobre la Represión y el Castigo del Crimen de Apartheid, el 19 de abril de 2011;
9#Comité para la Eliminación de la Discriminación Racial#"Observaciones finales sobre los informes periódicos 
21º a 23º combinados del Uruguay* "#B.	Aspectos positivos ##e)	El Convenio sobre las Trabajadoras y los Trabajadores Domésticos, 2011 (núm. 189), de la Organización Internacional del Trabajo, el 14 de junio de 2012.
10#Comité para la Eliminación de la Discriminación Racial#"Observaciones finales sobre los informes periódicos 
21º a 23º combinados del Uruguay* "#B.	Aspectos positivos ##El Comité acoge con satisfacción la firma de la Convención Interamericana contra Toda Forma de Discriminación e Intolerancia y la Convención Interamericana contra el Racismo, la Discriminación Racial y Formas Conexas de Intolerancia, el 6 de julio de 2013, y alienta al Estado parte a proceder a la ratificación de ambos instrumentos.
11#Comité para la Eliminación de la Discriminación Racial#"Observaciones finales sobre los informes periódicos 
21º a 23º combinados del Uruguay* "#B.	Aspectos positivos ##El Comité acoge con satisfacción las medidas legislativas e institucionales adoptadas por el Estado parte durante el período examinado, en particular: 
12#Comité para la Eliminación de la Discriminación Racial#"Observaciones finales sobre los informes periódicos 
21º a 23º combinados del Uruguay* "#B.	Aspectos positivos ##La Ley núm. 19122 de 21 de agosto de 2013 sobre acciones afirmativas en los ámbitos público y privado dirigidas a los integrantes de la población afrodescendiente, así como su reglamento emitido mediante Decreto 144/014 de 22 de mayo de 2014; 
13#Comité para la Eliminación de la Discriminación Racial#"Observaciones finales sobre los informes periódicos 
21º a 23º combinados del Uruguay* "#B.	Aspectos positivos ##El establecimiento formal de la Institución Nacional de Derechos Humanos y Defensoría del Pueblo el 22 de junio de 2012; 
14#Comité para la Eliminación de la Discriminación Racial#"Observaciones finales sobre los informes periódicos 
